timestamp,price,open,high,low,volume,Change %
01/18/2023,20678,21136,21632,20435,3.19K,-2.17%
01/17/2023,21136,21196,21518,20905,2.06K,-0.28%
01/16/2023,21196,20882,21433,20651,3.25K,1.50%
01/15/2023,20882,20963,21048,20583,1.54K,-0.39%
01/14/2023,20963,19933,21300,19897,6.06K,5.17%
01/13/2023,19933,18857,19989,18725,3.03K,5.71%
01/12/2023,18857,17946,19070,17920,5.32K,5.08%
01/11/2023,17946,17445,17998,17319,2.23K,2.87%
01/10/2023,17445,17188,17503,17155,0.81K,1.50%
01/09/2023,17188,17139,17399,17123,1.58K,0.29%
01/08/2023,17139,16958,17174,16930,0.81K,1.07%
01/07/2023,16958,16967,16990,16925,0.28K,-0.05%
01/06/2023,16967,16842,17045,16705,1.82K,0.74%
01/05/2023,16842,16868,16888,16778,0.57K,-0.15%
01/04/2023,16868,16689,16998,16671,1.12K,1.07%
01/03/2023,16689,16690,16807,16625,1.58K,-0.01%
